"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 22:07:22 CEST 2021","Mon Aug 16 22:07:23 CEST 2021","1012","test","test_delete_contact","","","","test_delete_some_contact",""
"broken","Mon Aug 16 22:07:23 CEST 2021","Mon Aug 16 22:07:29 CEST 2021","5666","test","test_delete_contact_from_group","","","","test_delete_contact_from_group",""
"broken","Mon Aug 16 22:07:21 CEST 2021","Mon Aug 16 22:07:22 CEST 2021","162","test","test_data_comparison","","","","test_phones_on_contact_view_page",""
"passed","Mon Aug 16 22:07:40 CEST 2021","Mon Aug 16 22:07:42 CEST 2021","1850","test","test_group_add","","","","test_add_group[None:name5:header7MnX;{6x:footerd*Nn]",""
"passed","Mon Aug 16 22:07:21 CEST 2021","Mon Aug 16 22:07:21 CEST 2021","621","test","test_data_comparison","","","","test_phones_on_home_page",""
"passed","Mon Aug 16 22:07:19 CEST 2021","Mon Aug 16 22:07:21 CEST 2021","1413","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Mon Aug 16 22:07:37 CEST 2021","Mon Aug 16 22:07:38 CEST 2021","1482","test","test_edit_group","","","","test_edit_some_group_name",""
"passed","Mon Aug 16 22:07:04 CEST 2021","Mon Aug 16 22:07:11 CEST 2021","7639","test","test_add_contact","","","","test_add_new_contact[None:::::::::]",""
"passed","Mon Aug 16 22:07:29 CEST 2021","Mon Aug 16 22:07:30 CEST 2021","711","test","test_delete_group","","","","test_delete_some_group",""
"passed","Mon Aug 16 22:07:38 CEST 2021","Mon Aug 16 22:07:40 CEST 2021","1601","test","test_group_add","test_add_group[None","","","test_add_group[None:::]",""
"passed","Mon Aug 16 22:07:30 CEST 2021","Mon Aug 16 22:07:37 CEST 2021","7255","test","test_edit_contact","","","","test_edit_some_contact_2",""
"passed","Mon Aug 16 22:07:12 CEST 2021","Mon Aug 16 22:07:19 CEST 2021","7382","test","test_add_contact","","","","test_add_new_contact[None:fname0OE|:lnameIl aWO45D:mname:address&L$sh <|:3923194:25:W@test.com:addr2:2211602]",""
